Отзыв,Эмоциональная окраска,Вероятность
"Удивительно, но многие почему-то не любят эту книгу, считают её скучной, неинтересной, слишком длинной, но меня эта история просто покорила, я бросала чтение несколько раз, но не потому что, скучно, а потому что эмоции зашкаливаютСпойлерочень ждала свадьбы Болконского и Наташи, но ее не случились.",neutral,0.4605
"Эта книга сокровище мировой литературы. Лев Николаевич очень глубоко и ярко раскрыл харктеры героев. Интересно это всё из личного опыта, или же он опирался на информацию извне и абстрактное мышление. Да книга объёмная, но она написана на прекрасном языке и в прекрасном стиле. Её можно перечитывать много раз только ради того, чтобы обогатить свой язык, а тем кто хочет улучшить свою дикцию рекомендую читать её в слух.",positive,0.7946
"Очень эмоциональное и сильное произведение! В школе как-то не очень, а лет в 20 аж дух захватывало! Некоторые думают, что если книга большая, то скучная, но это не так. Скорее наоборот…",negative,0.4468
"книга однозначно обязательная к прочтению. прочитав впервые по школьной программе особого впечатления не произвела, а вот ознакомившись взрослее заметила много идей для обдумывания",neutral,0.8058
"мне понравилось , очень удобно было потому что она моя любимая книга и мой любимый писатель, очень рада была, что нашла ее!",positive,0.9938
"Помню, что впервые прочтала эту книгу в школе....Разумеется, впечатления были слабыми, такое нужно читать , уже повзрослев!! Теперь уже замечается не только романтическая составляющая романа, но и исторические события. Интересно было узнать, как относились к Наполеону в светских кругах. Второй том читать тяжеловато до сих пор: много военной тематики. Произведение , разумеется, слишком серьезное, чтобы подошло всем подряд – отсюда , наверное, и отрицательные оценки. ХОтя ставя отрицательную оценку, читатель долежен еще поставить вопрос : дорос ли он сам до подобного произведения, чтобы вообще оценивать великого Льва Толстого и ставить ему 2 ? ))) Книга шедевр, безусловно, 5 !)",neutral,0.8956
"Очень странно читать её в 35, конда, казалось бы должен был прочесть гораздо раньше. Но теперь, как мне кажется, глубина образов и смыслов видится чуть более явно, чем в отрочестве. Шедевр мировой литературы. Как можно это оценить? Не в моей власти оценивать гениев.",neutral,0.8688
"Историческая книга, которая показывает взаимоотношения людей в разных ситуациях, корысть, любовь, войну, положение в обществе и многое другое, всё это можно найти в этой книге, достаточно легко читается, ну что сказать классика на всё времена.",neutral,0.7121
"Чем еще заняться летом, когда тебе в сентябре идти в десятый класс? Конечно же читать ""Войну и мир"", которое, как сказали, прочитать нужно обязательно. Было страшно. Начинал ее когда-то, но бросил на второй же странице. Думал, неужели и сейчас будет нет! Но нет, все получилось наоборот. Всё начинается с вечера у одной фрейлины. И с первых страниц ты погружаешься в этот 19 век. Век, когда искренно (и не очень) любили и ненавидели. Век, когда дружили и предавали. Век, когда устраивали пышные вечера и поминки. Век, когда радовались и грустили. Век, когда был мир, и когда была война. Впрочем, сейчас всё также, люди остались теми же.  Разве что французский язык в России вышел из моды, и поэтому современные русские писатели на нем больше не пишут для своих читателей. Как надоел этот дуб! Небо Аустерлица - не вижу смысла.. Боже, не книга, а аквариум, полный воды!  Именно так многие и думают об этом произведении. Я же с ними полностью не согласен. Всеми известный дуб и небо Аустерлица имеют огромное значение в мировоззрении всеми известного Андрея Болконского, было интересно читать и перечитывать эти моменты. Сюжет.И никакой воды в книге нет, всё появляется и исчезает своевременно, всё к месту и по делу, и маленькие детали (даже подробные описания военных действий) лишь включают твое воображение, запутавшее в паутине; читая малейшие детали, лишь сильнее погружаешься в этот новый и интересный для тебя мир. Персонажи. Их много. Очень много. Всех не упомянуть, поэтому скажу о тех, кто больше всего запомнился.Андрей Болконский - в честь него ты и получил это имя, сынок, потому что твоя мама его обожает. Этакий красавец с сухими чертами и скучающим видом, меняющийся в другую сторону, стоит ему посмотреть на небо. Кажется, он всепрощающ, но это не так, ведь он человек, не уступающий своим  принципам ради чувств. Наташа Ростова - присоединяюсь к хейтерам Натахи. Она совершенная эгоистка, когда дело касается ее чувств и счастья. Уж извините, Лев Николаевич, это Ваш любимый персонаж, но мне она не симпатична, слишком шумная, взбалмошная, неразумная, неграмотная, не дальновидная и хорошенькая для меня....Федор Долохов - ""Э, э, что тут делает второстепенный персонаж?"" - подумает читатель рецензии. Уж извините, но мне он показался сложной и интересной натурой. Он предстает опытным бретером и угодником дам, кутилой, но момент его мини-исповеди меня убедил, что его слова искренни и правдивы, и он действительно таков, какой он предстает при этих откровениях.Марья Болконская - ... мне таких, как Марья, подавай. Внешне - уродлива, а внутренне - прекрасна, как прорастающие листки в зимнюю пору. Набожна, кротка, склонна к самопожертвованию и любви к ближним своим. Несмотря на такой святой вид, эта девчонка способна испытывать и ненависть, и презрение, но тщательно в себе подавляет это, считая неправильным. Элен Курагина - ""Почему не Пьер?"" - спросите вы. А почему бы не Элен? Про Пьера и так много сказано, а про Элен почти ничего. Это роковая красотка, вскружившая голову всему городу и обществу своей ослепительной красотой. Лишь один из персонажей видит, что она пустоголовая, а другие в каждом ее пошлом и бессмысленном слове ищут глубокий смысл. Можно ненавидеть Толстого, можно любить. Но нельзя отрицать того, что произведение, несмотря на масштабность, выдалось хорошим, затрагивающим все темы, которые только можно затронуть. Мораль сей басни такова: не проигрывайся в карты Долохову. Мало ли, что из этого выйдет...  ",neutral,0.4804
"Первая мысль, которая приходит в голову, когда откладываешь первый том этого романа-эпопеи: ""Да, я сделала это!!!"" Я настолько не полюбила Толстого после ""Анны Карениной"" что для меня было поистине подвигом снова взяться за его творчество. Очень интересно, но так тяжело читать описания военных сражений!.. Больше половины слов непонятные, устаревшие или слишком специализированные. Но это не помешало мне насладиться послевкусием, оставшимся после прочтения.
Один шаг за эту черту, напоминающую черту, отделяющую живых от мертвых, и — неизвестность, страдания и смерть. И что там? кто там? там, за этим полем, и деревом, и крышей, освещенной солнцем? Никто не знает, и хочется знать; и страшно перейти эту черту, и хочется перейти ее; и знаешь, что рано или поздно придется перейти ее и узнать, что там, по ту сторону смерти. А сам силен, здоров, весел и раздражен и окружен такими здоровыми и раздраженно-оживленными людьми.
Как живо представляешь себе все, описанные Толстым! Как остро чувствуешь тревогу, страх, опасность! Как сопереживаешь героям, находящимся на поле боя и сражающимися за своего Царя и Отечество! Одни эти слова заставляют плакать о давно утерянном чувстве патриотизма. ""Страшно, и весело!"" - и правда, именно эти чувства я испытывала вместе с героями, я буквально ""жила"" в них, в их телах, их чувствами, их стремлениями. Произведение и правда получилось очень живое, хотя первые две части я мучилась и стенала, потому что ничего не могла понять, вникнуть в то, что пишет автор. Мне казалось, я тупею, но как я поняла, и к языку повествования, и к слогу, и к персонажам нужно привыкнуть. Тогда каждое событие в их жизни переживаешь как свое собственное.Я не определилась еще полностью со своим отношением к тому или иному герою. Но могу сказать, что сестра Болконского, Марья, мой идеал... Она религиозна, смиренна, послушна и милосердна. А её сердце полно любви и христианского сострадания. 
«Мое призвание другое, — думала про себя княжна Марья, — мое призвание — быть счастливой другим счастием, счастьем любви и самопожертвования. И чего бы мне это ни стоило, я сделаю счастие бедной Amélie. Она так страстно его любит. Она так страстно раскаивается. Я все сделаю, чтоб устроить ее брак с ним. Ежели он не богат, я дам ей средства, я попрошу отца, попрошу Андрея. Я так буду счастлива, когда она будет его женою. Она так несчастлива, чужая, одинокая, без помощи! И Боже мой, как страстно она его любит, ежели она так могла забыть себя. Может быть, и я сделала бы то же!..» — думала княжна Марья.
Как меня забавляет Денис Давыдов Василий Денисов и как он мил моему сердцу именно из-за своих безбашенных выходок и неугасающего оптимизма. Вот например, когда Николая Ростова не взяли на фронт и он расстроенный сидел в резерве:
- Г'остов, иди сюда, выпьем с го'я! - крикнул Денисов, усевшись на краю дороги перед фляжкой и закуской.
Это чуть ли не самый, я сказала бы, характерный и живо представляющийся мне персонаж! Я каждый раз смеюсь, читая связанные с ним эпизоды :) Он как-то разбавляет обстановку. Да и вообще гусары... они такие) Не соскучишься. Судя по описаниям.Но больше всего я рыдала на сцене смотра войск! Бог мой, ИМПЕРАТОР АЛЕКСАНДР!!! Я увидела его как живого! Все мысли, блуждавшие в голове у Ростова в тот момент могли бы быть моими мыслями, право слово. Я просто диву давалась.
...он весь поглощен был чувством счастия, происходящего от близости государя. Он чувствовал себя одною этою близостью вознагражденным за потерю нынешнего дня. Он был счастлив, как любовник, дождавшийся ожидаемого свидания.
Остановившись против Павлоградского полка, государь сказал что-то по-французски австрийскому императору и улыбнулся.
Увидав эту улыбку, Ростов сам невольно начал улыбаться и почувствовал еще сильнейший прилив любви к своему государю. Ему хотелось выказать чем-нибудь свою любовь к государю. Он знал, что это невозможно, и ему хотелось плакать. Государь вызвал полкового командира и сказал ему несколько слов.
«Боже мой! что бы со мной было, ежели бы ко мне обратился государь! — думал Ростов. — Я бы умер от счастия».
<...>
Как бы счастлив был Ростов, ежели бы мог теперь умереть за своего царя!
<...>
«Только умереть, умереть за него!» — думал Ростов.
<...>
«Как мог быть в нерешимости государь?» — подумал Ростов, а потом даже и эта нерешимость показалась Ростову величественной и обворожительной, как и все, что делал государь.

Поздно ночью, когда все разошлись, Денисов потрепал своей коротенькой рукой по плечу своего любимца Ростова.
— Вот на походе не в кого влюбиться, так он в ца'я влюбился, — сказал он.
— Денисов, ты этим не шути, — крикнул Ростов, — это такое высокое, такое прекрасное чувство, такое...
— Ве'ю, ве'ю, дг'ужок, и г'азделяю и одоб'яю...
— Нет, не понимаешь!
И Ростов встал и пошел бродить между костров, мечтая о том, какое было бы счастье умереть, не спасая жизнь (об этом он и не смел мечтать), а просто умереть в глазах государя. Он действительно был влюблен и в царя, и в славу русского оружия, и в надежду будущего торжества. И не он один испытывал это чувство в те памятные дни, предшествующие Аустерлицкому сражению: девять десятых людей русской армии в то время были влюблены, хотя и менее восторженно, в своего царя и в славу русского оружия.
А как я завидовала вместе с Ростовым внезапно подъехавшему капитану! Хоть на минутку, хоть на одно мгновение прикоснуться к этому величественному образу, к русскому Императору! Одно только это слово вселяет благоговейный трепет и ужас, т.к. все это далеко в прошлом... И неизвестно найдется ли ему место в будущем.
В то время как Ростов делал эти соображения и печально отъезжал от государя, капитан фон Толь случайно наехал на то же место и, увидав государя, прямо подъехал к нему, предложил ему свои услуги и помог перейти пешком через канаву. Государь, желая отдохнуть и чувствуя себя нездоровым, сел под яблочное дерево, и Толь остановился подле него. Ростов издалека с завистью и раскаянием видел, как фон Толь что-то долго и с жаром говорил государю, как государь, видимо, заплакав, закрыл глаза рукой и пожал руку Толю.
«И это я мог бы быть на его месте!» — подумал про себя Ростов и, едва удерживая слезы сожаления об участи государя, в совершенном отчаянии поехал дальше, не зная, куда и зачем он теперь едет.
Поклон Льву Николаевичу за эти сладостные минуты соприкосновения с прошлым! БРАВО!!!",positive,0.5263
